ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why,oid
1787508367.1,nba,tec-nba-mvp-2027-05-17-w-lambal,BUY,100,0.01,earn,0.0068,3.8,,1,4,0,0.01,0.02,-0.01,100,joins the touch — the book has been quiet,C1Z3K549CDK0
1787525854.6,nba,tec-nba-champ-2027-06-18-w-mia,SELL,1,0.04,earn,0.0001,8.83,,2,5,0,0.03,0.04,0,-1,joins the touch — the book has been quiet,C1YYWGX9GDJR
1787580379.0,nba,tec-nba-champ-2027-06-18-w-nyk,BUY,1,0.08,earn,0.0009,23.96,,8,11,0,0.08,0.09,-0.02,1,joins the touch — the book has been quiet,C1YZNN2S4DKA
1787600137.5,nba,tec-nba-champ-2027-06-18-w-pho,BUY,50,0.02,earn,0.0256,29.45,,1,4,0,0.02,0.03,-0.01,50,joins the touch — the book has been quiet,C1YZGC25WDK7
1787600737.5,nba,tec-nba-champ-2027-06-18-w-dal,BUY,50,0.02,earn,0.0379,29.5,,1,4,0,0.02,0.03,-0.01,50,joins the touch — the book has been quiet,C1Z2R5D5MDJV
1787601068.0,nba,tec-nba-champ-2027-06-18-w-nyk,BUY,0.17,0.08,backfill,,29.7,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,C1YZNN2S4DKA
1787601097.5,nba,tec-nba-champ-2027-06-18-w-nyk,BUY,7.66,0.08,earn,0.0001,29.71,,7,11,0.427,0.08,0.09,-0.01,9.83,joins the touch — the book has been quiet,C1YZNN2S4DKA
1787601097.5,nba,tec-nba-champ-2027-06-18-w-ind,BUY,50,0.02,earn,0.0028,29.65,,1,4,0,0.02,0.03,-0.01,50,joins the touch — the book has been quiet,C1Z1DM81WDK0
1787601397.5,nba,tec-nba-champ-2027-06-18-w-cle,SELL,1,0.03,earn,0.0001,29.76,,1,4,0,0.02,0.03,0,-1,joins the touch — the book has been quiet,C1Z0J191WDK7
1787601757.5,nba,tec-nba-mvp-2027-05-17-w-donmit,SELL,1,0.02,earn,0,29.93,,1,2,0,,0.01,-0.01,-1,joins the touch — the book has been quiet,C1YYNDF26DJV
1787601757.5,nba,tec-nba-champ-2027-06-18-w-tor,SELL,1,0.03,earn,0.0001,29.85,,1,4,0,0.02,0.03,0,-1,joins the touch — the book has been quiet,C1Z0TV896DK5
1787601997.6,nba,tec-nba-mvp-2027-05-17-w-lambal,BUY,0.01,0.01,earn,0,26.01,,1,3,0.336,,0.02,-0.01,100.01,joins the touch — the book has been quiet,C22DPXJ3GDK5
1787602117.6,nba,tec-nba-mvp-2027-05-17-w-jaytat,BUY,20,0.05,earn,0.0003,30.03,,4,8,0,0.05,0.06,-0.01,20,joins the touch — the book has been quiet,C1YYK7PRJDK2
1787602117.6,nba,tec-nba-mvp-2027-05-17-w-giaant,BUY,10,0.06,earn,0.0008,30.01,,5,9,0,0.06,0.07,-0.01,10,joins the touch — the book has been quiet,C1YYYS156DJV
1787602117.6,nba,tec-nba-mvp-2027-05-17-w-paoban,BUY,27.52,0.01,earn,0.0028,29.91,,1,3,0,0.01,0.02,-0.01,27.52,joins the touch — the book has been quiet,C1Z1SD41RDJT
1787602117.6,nba,tec-nba-mvp-2027-05-17-w-shagil,BUY,5,0.16,earn,0.0014,29.9,,16,20,0,0.16,0.17,-0.02,5,joins the touch — the book has been quiet,C1Z2AV7YTDKA
1787602117.6,nba,tec-nba-mvp-2027-05-17-w-antedw,BUY,20,0.04,earn,0.0012,29.85,,3,6,0,0.04,0.05,-0.01,20,joins the touch — the book has been quiet,C1Z3XX91MDJP
1787602237.6,nba,tec-nba-mvp-2027-05-17-w-kevdur,SELL,1,0.02,earn,0.0004,30,,1,3,0,0.01,0.02,-0.01,-1,1 tick behind the touch; ~0.0% of the ask side,C1Z0J18ZWDK7
1787602237.6,nba,tec-nba-champ-2027-06-18-w-mil,SELL,1,0.02,earn,0.0001,29.93,,1,3,0,0.01,0.02,-0.01,-1,1 tick behind the touch; ~0.0% of the ask side,C1Z2AV89TDKA
1787602417.6,nba,tec-nba-champ-2027-06-18-w-gsw,SELL,1,0.02,earn,0.0002,30.03,,1,3,0,0.01,0.02,0,-1,joins the touch — the book has been quiet,C1Z11H0DJDJT
1787603277.3,nba,tec-nba-mvp-2027-05-17-w-paoban,BUY,0.48,0.01,backfill,,30.23,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,C1Z1SD41RDJT
1787603317.6,nba,tec-nba-mvp-2027-05-17-w-nikjok,BUY,5,0.12,earn,0.0003,30.35,,11,15,0,0.12,0.13,-0.01,5,joins the touch — the book has been quiet,C1YZ2G224DK1
1787603317.6,nba,tec-nba-mvp-2027-05-17-w-kawleo,BUY,100,0.01,earn,0.0029,30.3,,1,5,0,0.01,0.02,-0.02,100,joins the touch — the book has been quiet,C1Z0AAA68DJP
1787603317.6,nba,tec-nba-mvp-2027-05-17-w-paoban,BUY,72,0.01,earn,0.0021,30.25,,1,3,0.453,0.01,0.02,-0.01,100,joins the touch — the book has been quiet,C1Z1SD41RDJT
1787603317.6,nba,tec-nba-mvp-2027-05-17-w-denavd,BUY,100,0.01,earn,0.0031,30.23,,1,5,0,0.01,0.02,-0.02,100,joins the touch — the book has been quiet,C1Z2CN5TCDK2
1787603317.6,nba,tec-nba-mvp-2027-05-17-w-tyrmax,BUY,100,0.01,earn,0.0029,30.2,,1,3,0,0.01,0.02,-0.01,100,joins the touch — the book has been quiet,C1Z35GBTJDK2
1787603317.6,nba,tec-nba-mvp-2027-05-17-w-cadcun,SELL,1,0.03,earn,0.0001,30.18,,1,4,0,0.02,0.03,0,-1,joins the touch — the book has been quiet,C1Z3K5524DK0
1787605438.5,nba,tec-nba-mvp-2027-05-17-w-kawleo,BUY,100,0.01,hand,,17.92,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2A3X3F14DJR
1787605559.3,nba,tec-nba-champ-2027-06-18-w-pho,BUY,50,0.01,hand,,296.94,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,BTTM4QK14DJR
1787605567.9,nba,tec-nba-champ-2027-06-18-w-ind,BUY,50,0.02,hand,,1.23,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2RGN5G10DK5
1787605575.8,nba,tec-nba-champ-2027-06-18-w-dal,BUY,50,0.01,hand,,1.31,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2REPQJ3TDK7
1787606033.3,nba,tec-nba-mvp-2027-05-17-w-denavd,SELL,25,0.01,hand,,0,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2SMWWTQEDJT
1787606039.4,nba,tec-nba-mvp-2027-05-17-w-jaytat,BUY,20,0.05,hand,,2.09,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2QX07QFRDK1
1787606088.2,nba,tec-nba-mvp-2027-05-17-w-giaant,BUY,10,0.06,hand,,2.05,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2QYCTZVPDK1
1787606092.6,nba,tec-nba-mvp-2027-05-17-w-nikjok,BUY,5,0.12,hand,,2.05,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2QY2BZNCDK0
1787606095.7,nba,tec-nba-mvp-2027-05-17-w-shagil,BUY,5,0.16,hand,,0.85,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2RX95KVTDJR
1787606148.8,nba,tec-nba-mvp-2027-05-17-w-tyrmax,SELL,50,0.01,hand,,0.02,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2SNY3SGADKA
1787612056.5,nba,tec-nba-champ-2027-06-18-w-det,BUY,20,0.05,earn,0.0142,32.59,,4,7,0,0.05,0.06,0,20,joins the touch — the book has been quiet,C1Z45CG4ADK0
1787618810.7,nba,tec-nba-champ-2027-06-18-w-det,BUY,20,0.03,hand,,1.82,,,,,,,,,your own trade — from the exchange's record; direction from its order intent,C2V62ZSKGDK1
